formula,sym_val,ehull_c2db,decomp_energy_m2,gap_c2db,gap_m2,magmom_u_c2db,total_magnetization_m2,energy_c2db,energy_per_atom_m2,natoms_m2,total_energy_m2
Bi2Ni,123,0.1509628521357662,0.1388445150000006,,0.0,,-3.2e-06,-16.31317970750791,-4.402438883333333,3,-13.20731665
Bi2O9Si3,174,0.12154112908001226,0.1584473401785722,3.7325113606502986,4.2462,,0.0,-101.58219096268941,-7.0202916235714286,14,-98.28408273
Bi2PbSe4,164,0.0,0.002625059999999735,0.28865436364396,0.9501000000000001,,-0.0,-30.160146946517003,-4.071334668571429,7,-28.49934268
Bi2PbTe4,164,3.172065784643304e-17,0.006910612857135678,0.11660193004179531,1.045,,0.0,-27.91890792056038,-3.7143319514285715,7,-26.00032366
Bi2Pd,123,0.09548862797860795,0.10271386500000013,0.0,0.0,,9e-07,-13.636828727772997,-4.45671559,3,-13.37014677
Bi2Pt,123,0.1916443830212954,0.19929458499999964,,0.0,,1.1e-06,-15.954058666166135,-4.654265606666667,3,-13.962796820000001
Bi2S3,164,0.004481394609992861,0.0046670425000003846,0.46999257714183007,1.1042999999999998,,0.0,-23.39611822401179,-4.374473876,5,-21.87236938
Bi2STe2,164,0.0029916665157784907,0.0,0.1580506163183651,0.9331,,-0.0,-21.27939956815742,-3.9189637759999996,5,-19.59481888
Bi2Se2Te,164,0.03392059725280783,0.039182571,0.11061620671630423,1.1357000000000002,,-0.0,-21.066457911110245,-3.885995528,5,-19.42997764
Bi2Se3,164,0.0,0.0,0.2433187304809601,0.8890999999999998,,0.0,-21.742539505990297,-4.036052476,5,-20.180262380000002
Bi2SeTe2,164,0.00048399919570769613,0.0,0.12088839139441887,0.8830000000000001,,-0.0,-20.72716229277973,-3.806758906,5,-19.03379453
Bi2SnTe4,164,0.0,0.006256082857143408,0.013903955044487937,0.7931,,0.0,-27.949933787670393,-3.7251783742857145,7,-26.07624862
Bi2Te3,164,0.000450131609218829,0.0,0.08323111913859499,0.9707,,-0.0,-20.104534865468775,-3.668742094,5,-18.34371047
Bi2Ti,164,0.13288952838593757,0.13165061187499916,0.0,0.0,,-4.2e-06,-16.07829435270544,-5.22399843,3,-15.67199529
Bi2Tl2,129,0.28899874280573146,0.3293276991666665,,0.0,,2e-07,-13.230339460476037,-2.818345105,4,-11.27338042
Bi2Zr,164,0.1359599501397367,0.1197748883333336,0.0,0.0,,2.8e-06,-17.270123866525548,-5.604707056666666,3,-16.81412117
Bi4B4O12,14,0.03909826496014546,0.050050366000002455,2.864869750225151,3.7412,,-0.0,-144.2347653257986,-6.904791980000001,20,-138.0958396
Bi4O6,11,0.0631286442830536,0.11367670449999956,2.875695051378547,3.0424,,0.0,-61.21956276765801,-5.639199883,10,-56.39199883
Bi4Sr2O8,11,0.0,0.0,2.704086347886675,2.6793,,-0.0,-87.75896738812024,-5.894690234285714,14,-82.52566328
Bi6Pt3,157,0.10169776099254631,0.09762236055555551,0.0,0.0,,-3.6e-06,-48.67169559675715,-4.755937831111111,9,-42.80344048
BiBrTe,156,0.0,0.0,0.5910806856682358,1.6510000000000002,,0.0,-10.97526561812054,-3.38476648,3,-10.15429944
BiClTe,156,0.1391662479614335,0.0,0.5306819176371946,1.8037,,-0.0,-11.069258202750731,-3.54575662,3,-10.63726986
BiCuP2Se6,143,0.0,0.00024198262500085832,1.0086883391795731,1.2766,0.0,0.0,-41.80036649011796,-4.146228821999999,10,-41.46228821999999
BiITe,156,0.0033324379925610734,0.0,0.4124843673462051,1.5743999999999998,,0.0,-10.469900152714834,-3.2155309066666664,3,-9.64659272
BiO2,164,0.24181203641344742,0.2187232950000002,,0.0,,0.0074655,-17.37521569092941,-5.376419469999999,3,-16.12925841
Br2Ge,164,0.0,0.0,2.300947904894432,2.3501000000000003,,-0.0,-9.50798815565172,-3.2073616499999997,3,-9.62208495
Br6P2,162,0.05921985414098768,0.1572952943749999,2.2398930912395727,2.1968999999999994,,-0.0,-22.331867444127408,-2.80705421625,8,-22.45643373
Br6Sb2,162,0.0,0.0,2.3329873204110596,2.4434,,-0.0,-23.540802589045654,-2.8808842625,8,-23.0470741
