formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
Ag2Sr3Br2O4,number,123,True,False
Ag2Sr3Br2S4,number,123,True,False
Ag2Sr3Cl2O4,number,123,True,False
Ag2Sr3Cl2S4,number,123,True,False
Ag2Sr3I2O4,number,123,True,False
Ag2Sr3I2S4,number,123,True,False
Ag2SrF12,number,115,True,False
Ag2SrH12,number,115,True,False
Ag2SrO8,number,89,True,False
Ag2SrS8,number,89,True,False
Ag2Ta8S16,number,11,False,True
Ag2Te,number,191,True,False
Ag2Te2,number,10,True,True
Ag2Te2,number,129,True,True
Ag2Te2,number,164,True,False
Ag2Te2,number,187,True,False
Ag2Te2,number,59,True,False
Ag2Te3,number,5,True,False
Ag2Te4,number,115,False,True
Ag2Te4,number,12,True,False
Ag2Te4,number,14,True,False
Ag2Ti2,number,129,False,True
Ag2Tl2S2,number,31,True,False
Ag2Tl2Se2,number,129,True,False
Ag2Tl2Te2,number,129,True,False
Ag2V2As4O12,number,13,True,False
Ag2V2H4O8,number,11,False,True
Ag2V2I6,number,162,True,False
Ag2V2O12P4,number,13,True,False
Ag2V2O8,number,51,True,False
Ag2V2P4S12,number,13,True,True
Ag2V2P4Se12,number,13,True,False
Ag2V2S12Sb4,number,13,True,False
Ag2V2S8,number,51,True,False
Ag2V4O11,number,12,False,True
Ag2WO4,number,111,True,False
Ag2WO4,number,35,True,False
Ag2WS4,number,111,True,False
Ag2WSe4,number,111,True,False
Ag2WTe4,number,111,True,False
Ag2Zr2,number,129,False,True
Ag3AsO4,number,156,True,False
Ag3AsS4,number,156,True,False
Ag3Br3,number,123,True,False
Ag3Br3,number,157,True,False
Ag3Br3,number,189,True,False
Ag3Br3,number,3,True,False
Ag3Cl3,number,157,True,False
Ag3Cl3,number,25,True,False
Ag3Cl3,number,3,True,False
Ag3Cl3,number,38,True,False
Ag3F3,number,25,True,False
Ag3F3,number,47,True,False
Ag3I3,number,3,True,False
Ag3I5,number,8,True,False
Ag3O4P,number,156,True,False
Ag3O4Sb,number,156,True,False
Ag3PS4,number,156,True,False
Ag3S4Sb,number,156,True,False
Ag4Bi4,number,51,True,False
Ag4Br12,number,13,True,False
Ag4Br4,number,1,True,False
Ag4Br4,number,18,True,False
Ag4Br4F4O4,number,14,True,False
Ag4Br4F4S4,number,14,True,False
Ag4Br4H4O4,number,14,True,False
Ag4Br4H4S4,number,2,True,False
Ag4Br4O4,number,14,True,False
Ag4Br4S4,number,14,True,False
Ag4Br4Se4,number,14,True,False
Ag4Br4Te4,number,14,True,False
Ag4Br8,number,13,True,False
Ag4Br8,number,51,True,False
Ag4C2O6,number,11,False,True
Ag4C4N12O8,number,57,False,True
Ag4Cl4,number,13,True,False
Ag4Cl4,number,14,True,False
Ag4Cl4,number,28,True,False
Ag4Cl4,number,59,True,False
Ag4Cl4F4O4,number,14,True,False
Ag4Cl4F4S4,number,14,True,False
Ag4Cl4H4O4,number,14,True,False
Ag4Cl4H4S4,number,14,True,False
Ag4Cl4H4S4,number,2,True,False
Ag4Cl4O4,number,14,True,False
Ag4Cl4O8,number,54,False,True
Ag4Cl4S4,number,14,True,False
Ag4Cl4Se4,number,14,True,False
Ag4Cl4Te4,number,14,True,False
Ag4Cl8,number,13,True,False
Ag4Cl8,number,7,True,False
Ag4F2I2O2,number,4,False,True
Ag4F4,number,53,True,False
Ag4F4H4O4,number,14,True,False
Ag4F4H4S4,number,14,True,False
Ag4F4I4O4,number,14,True,False
Ag4F4I4S4,number,14,True,False
Ag4F4O4,number,14,True,False
Ag4F4S4,number,14,True,False
Ag4F6,number,65,True,False
Ag4F8,number,13,True,False
Ag4F8,number,51,True,False
Ag4F8O4,number,14,True,False
Ag4F8S4,number,14,True,False
Ag4H4I4O4,number,14,True,False
Ag4H4I4S4,number,14,True,False
Ag4H8O4,number,14,True,False
Ag4Hg4Br4S4,number,51,False,True
Ag4Hg4I4S4,number,51,False,True
Ag4I12,number,67,True,False
Ag4I4O12,number,7,False,True
Ag4I4O4,number,14,True,False
Ag4I4S4,number,14,True,False
Ag4I4Se4,number,14,True,False
Ag4I4Te4,number,14,True,False
Ag4I8,number,13,True,False
Ag4I8,number,28,True,False
Ag4Li2V2O12,number,31,True,False
Ag4Li2V2S12,number,59,True,False
Ag4Li4Te4,number,129,True,False
Ag4Mg2O8,number,51,False,True
Ag4Na4Se4,number,129,True,False
Ag4O12S4,number,14,True,False
Ag4O12Se4,number,14,True,False
Ag4O12Te2,number,14,True,False
Ag4O12Te4,number,11,False,True
Ag4O12Te4,number,14,True,False
Ag4O4,number,26,False,True
Ag4Pd2Cl8,number,53,False,True
Ag4Ru4F28,number,14,False,True
Ag4S12Se2,number,14,True,False
Ag4S12Se4,number,14,True,False
Ag4S12Te2,number,14,True,False
Ag4S12Te4,number,14,True,False
Ag4S16,number,14,True,False
Ag4S2,number,11,False,True
Ag4S2,number,129,True,False
Ag4S2,number,191,False,True
Ag4S2,number,4,False,True
Ag4S2,number,51,True,False
Ag4S4,number,2,False,True
Ag4S6,number,1,True,False
Ag4S6,number,12,True,False
Ag4S6,number,13,True,False
Ag4S6,number,3,True,False
Ag4S8Sb4,number,7,False,True
Ag4Sb4,number,51,True,False
Ag4Se2,number,191,False,True
Ag4Se2,number,4,False,True
Ag4Se2,number,51,False,True
